the engine was shut down on take-off	climb performance was negative , as indicated by the manufacturer
two stainless steel collars were installed on the far aft side of the No. 5 cylinder exhaust pipe to prevent the exhaust muffler from coming into contact with the No. 5 cylinder baffle	The exhaust muffler on the right side of the engine and the exhaust pipe became disconnected
frequent staff changes	it was difficult for company personnel to properly follow up on aircraft records
The pilot did not request CARS services after usual business hours	himself services such as flight monitoring , which would have allowed the occupants of the aircraft to be rescued more rapidly
flight monitoring	the occupants of the aircraft to be rescued more rapidly
The engine was shut down at the most critical time in the initial climb , between rotation and acceleration	the aircraft crash
on the far aft side of the No. 5 cylinder exhaust pipe	the exhaust muffler coming into contact with the No. 5 cylinder baffle
Also , the way the collars were installed was inconsistent with quality standards and the manufacturer 's instructions	a considerably greater risk of fire
the pilot	himself the services normally provided
By not requesting the services of the CARS observer/communicator after usual business hours , the pilot deprived himself of the services normally provided , including flight monitoring	the occupants of the aircraft to be rescued more rapidly
The aircraft could not maintain a sufficient rate of climb when the right engine was shut down at the most critical time of the flight , between rotation and acceleration	the crash
Two stainless steel collars installed on the far aft side of the No. 5 cylinder exhaust pipe	the exhaust pipe
An inspection of the records and files for the aircraft	several deficiencies in records management
the review	the suspension of the company
