spraying operations started in the morning	winds were very light from the southwest
the winds were so light	it was considered safe and more practical to land from the south and take off to the north rather than land and take off into wind and have to execute a hovering turn to position the helicopter for loading
the time of the accident	winds had increased to only about six kph , with gusts
the uncommanded right yaw occurred	the helicopter veered toward a grove of trees
the pilot 's attempt to dump the spray load been successful	it is likely that he would have been able to quickly regain control of the helicopter and avoid the tree strike
it was out of reach while his hand was on the cyclic	The position of the Ag Nav remote switch , between the cyclic stick grip and the spray control box , made it difficult for the pilot to activate the dump switch
conditions	unanticipated right yaw
The increase of collective control	the situation
The position of the Ag Nav remote switch , between the cyclic stick grip and the spray control box	it difficult for the pilot to activate the dump switch because it was out of reach while his hand was on the cyclic
The helicopter took off downwind	unanticipated right yaw
The Ag Nav remote switch , positioned between the cyclic stick grip and the spray control box	the pilot easily reaching the dump switch
The Ag Nav remote switch , positioned between the cyclic stick grip and the spray control box , prevented the pilot from easily reaching the dump switch	a quick recovery of the helicopter
