operating VFR in uncontrolled airspace below 1000 feet is 1 sm	The minimum visibility
fluctuating	weather conditions and that the Cessna pilot had taken off in similar conditions just minutes before
The pilot had little exposure to helicopter flight in whiteout conditions and may not have known to fly close to shore	use the trees and shoreline as contrasting cues against the white snow of the frozen lake
the SkyTrax tracking system installed on this occurrence helicopter was programmed to record the helicopter 's last known position at a frequency of every 2 minutes instead of 15 minutes	it helped reduce the search area and locate the helicopter in a relatively timely manner
The 121.5 MHz emergency locator transmitter -LRB- ELT -RRB- was destroyed on impact and the antenna was severed from its connection	, it could not fulfill its role in signaling the accident
Whiteout conditions existed at the time of the occurrence	the visual cues available to the pilot to maintain control of the aircraft
Inadequate ground references	the pilot 's accurate perception of the helicopter height and attitude in reference the surface
it helped	the search area and
it	the search area
It is likely that the pilot encountered whiteout conditions , making it difficult to maintain visual reference and causing disorientation	impact with the frozen snow-covered lake
the pilot encountered whiteout conditions	it difficult to maintain visual reference
visual reference	disorientation , which resulted in impact with the frozen snow-covered lake
The Skytrax tracking system	additional aid in reducing the search area and locating the helicopter in a relatively timely manner
